timestamp,temperatura,umidade,ldr,corrente_1,corrente_2,corrente_3,payload_bytes,latencia_ms
2025-08-02 15:30:01,21.0,56.900001525878906,0,3.0899999141693115,3.5999999046325684,3.259999990463257,41,43.289
2025-08-02 15:40:00,21.0,56.900001525878906,0,3.4100000858306885,3.8299999237060547,3.5399999618530273,41,8.632000000000001
2025-08-02 15:50:01,21.0,56.79999923706055,0,3.4800000190734863,3.8299999237060547,3.680000066757202,40,-29.706
2025-08-02 16:00:01,21.0,56.900001525878906,0,3.390000104904175,3.7699999809265137,3.559999942779541,41,49.67
2025-08-02 16:10:01,21.0,56.79999923706055,0,3.450000047683716,3.759999990463257,3.5899999141693115,41,69.275
2025-08-02 16:20:00,21.0,56.79999923706055,0,3.4100000858306885,3.7899999618530273,3.740000009536743,41,411.887
2025-08-02 16:30:01,21.0,56.599998474121094,0,3.430000066757202,3.799999952316284,3.559999942779541,41,134.438
2025-08-02 16:40:01,21.0,56.599998474121094,0,3.4100000858306885,3.8299999237060547,3.630000114440918,41,142.072
2025-08-02 16:50:00,21.0,56.599998474121094,0,3.369999885559082,3.819999933242798,3.6500000953674316,41,742.873
2025-08-02 17:00:01,21.100000381469727,56.400001525878906,0,3.5299999713897705,3.819999933242798,3.75,41,186.585
2025-08-02 17:10:00,21.0,56.400001525878906,0,3.4800000190734863,3.8299999237060547,3.740000009536743,41,446.68600000000004
2025-08-02 17:20:01,21.0,56.5,0,3.450000047683716,3.869999885559082,3.6700000762939453,41,345.72999999999996
2025-08-02 17:30:01,21.0,56.5,0,3.4100000858306885,3.8399999141693115,3.680000066757202,41,131.721
2025-08-02 17:40:00,21.0,56.400001525878906,0,3.130000114440918,3.619999885559082,3.359999895095825,41,62.66199999999999
2025-08-02 17:50:02,21.0,56.5,0,3.440000057220459,3.809999942779541,3.8299999237060547,40,216.564
2025-08-02 18:00:01,21.0,56.400001525878906,0,3.440000057220459,3.9100000858306885,3.7699999809265137,41,-138.002
2025-08-02 18:10:00,21.0,56.400001525878906,0,3.4100000858306885,3.8399999141693115,3.630000114440918,41,-115.815
2025-08-02 18:20:01,21.0,56.29999923706055,0,3.4700000286102295,3.8299999237060547,3.6500000953674316,41,205.005
2025-08-02 18:30:01,21.0,56.29999923706055,0,3.430000066757202,3.809999942779541,3.6600000858306885,41,-38.676
2025-08-02 18:40:01,21.0,56.20000076293945,0,3.4200000762939453,3.880000114440918,3.5999999046325684,40,119.943
2025-08-02 18:50:01,21.0,56.20000076293945,0,3.4200000762939453,3.7899999618530273,3.6600000858306885,41,25.194000000000003
2025-08-02 19:00:01,21.0,56.20000076293945,0,3.4800000190734863,3.7799999713897705,3.700000047683716,41,16.976000000000003
2025-08-02 19:10:00,21.0,56.20000076293945,0,3.509999990463257,3.9000000953674316,3.700000047683716,41,65.881
2025-08-02 19:20:02,21.0,56.20000076293945,0,3.430000066757202,3.9000000953674316,3.680000066757202,40,171.22
2025-08-02 19:30:01,21.0,56.20000076293945,0,3.450000047683716,3.819999933242798,3.700000047683716,41,97.295
2025-08-02 19:40:01,21.0,56.20000076293945,0,3.450000047683716,3.8299999237060547,3.680000066757202,41,54.114000000000004
2025-08-02 19:50:02,21.0,56.29999923706055,0,3.1600000858306885,3.549999952316284,3.3399999141693115,40,64.852
2025-08-02 20:00:01,21.0,56.29999923706055,0,3.509999990463257,3.8299999237060547,3.630000114440918,40,107.67
2025-08-02 20:10:01,21.0,56.400001525878906,0,3.4700000286102295,3.8399999141693115,3.690000057220459,41,467.298
2025-08-02 20:20:01,21.0,56.5,0,3.430000066757202,3.7799999713897705,3.819999933242798,40,759.9820000000001
2025-08-02 20:30:00,21.0,56.599998474121094,0,3.440000057220459,3.859999895095825,3.630000114440918,41,150.457
2025-08-02 20:40:01,21.0,56.70000076293945,0,3.4100000858306885,3.809999942779541,3.5899999141693115,40,354.774
2025-08-02 20:50:01,21.0,56.79999923706055,0,3.4200000762939453,3.8299999237060547,3.680000066757202,41,710.3159999999999
2025-08-02 21:00:01,21.0,56.900001525878906,0,3.4600000381469727,3.8299999237060547,3.609999895095825,41,288.582
2025-08-02 21:10:02,21.0,56.900001525878906,0,3.4600000381469727,3.8299999237060547,3.4800000190734863,40,103.585
2025-08-02 21:20:01,21.0,57.099998474121094,0,3.4600000381469727,3.9000000953674316,3.700000047683716,41,283.10699999999997
